Name,OverallGrade,Obedient,ResearchScore,ProjectScore,Recommend
Henr1y,A,Y,800,800,Q8 Bobin
Joh1n,C,N,800,800,Q8 Bobin
Davi1d,F,N,800,800,Q8 Bobin
Holme1s,B,Y,800,800,Q8 Bobin
Marvi1n,E,N,800,800,Q8 Bobin
Henry2b,A,Y,900,900,Q9 Buton
John2b,C,N,900,900,Q9 Buton
David2b,F,N,900,900,Q9 Buton
Holmes2b,B,Y,900,900,Q9 Buton
Marvin2b,E,N,900,900,Q9 Buton
Henry3z,A,Y,1000,1000,Q10 Konnektör
John3z,C,N,1000,1000,Q10 Konnektör
David3z,F,N,1000,1000,Q10 Konnektör
Holmes3z,B,Y,1000,1000,Q10 Konnektör
Marvin3z,E,N,1000,1000,Q10 Konnektör
enryp,A,Y,1100,1100,Q11 Fan
ohnp,C,N,1100,1100,Q11 Fan
avidp,F,N,1100,1100,Q11 Fan
olmesp,B,Y,1100,1100,Q11 Fan
arvinp,E,N,1100,1100,Q11 Fan
cnrybbv,A,Y,1200,1200,Q12 Lazer Diyot
qohnbbbv,C,N,1200,1200,Q12 Lazer Diyot
pavidbvv,F,N,1200,1200,Q12 Lazer Diyot
xlmesbbv,B,Y,1200,1200,Q12 Lazer Diyot
dfrvinbvb,E,N,1200,1200,Q12 Lazer Diyot


